Time   inert-X inert-Y inert-Z   optic-rX optic-rY optic-rZ   optic-X optic-Y optic-Z
23-57-20-424   0.624 2.264 -0.736  0.090 2.079 -0.015  0.173 1.792 0.079  0.216 -0.753 1.703
23-57-20-446   0.631 2.251 -0.738  0.097 2.065 -0.017  0.179 1.782 0.080  0.227 -0.759 1.703
23-57-20-466   0.637 2.237 -0.739  0.103 2.051 -0.018  0.185 1.771 0.080  0.237 -0.765 1.704
23-57-20-486   0.644 2.221 -0.742  0.110 2.035 -0.022  0.191 1.761 0.080  0.247 -0.771 1.704
23-57-20-507   0.653 2.206 -0.746  0.119 2.020 -0.025  0.197 1.752 0.080  0.257 -0.776 1.704
23-57-20-527   0.658 2.197 -0.748  0.119 2.020 -0.025  0.203 1.743 0.080  0.267 -0.781 1.703
23-57-20-529   0.662 2.188 -0.749  0.128 2.003 -0.028  0.210 1.734 0.080  0.277 -0.785 1.703
23-57-20-549   0.672 2.173 -0.751  0.138 1.988 -0.030  0.217 1.726 0.079  0.287 -0.789 1.703
23-57-20-571   0.683 2.159 -0.753  0.149 1.973 -0.032  0.224 1.718 0.079  0.297 -0.792 1.703
23-57-20-591   0.693 2.145 -0.754  0.159 1.960 -0.033  0.232 1.711 0.079  0.308 -0.795 1.702
23-57-20-591   0.693 2.145 -0.754  0.159 1.960 -0.033  0.241 1.704 0.079  0.319 -0.797 1.702
23-57-20-612   0.703 2.132 -0.755  0.169 1.947 -0.035  0.249 1.697 0.078  0.330 -0.799 1.702
23-57-20-633   0.713 2.119 -0.756  0.179 1.934 -0.036  0.259 1.690 0.078  0.341 -0.799 1.702
23-57-20-654   0.723 2.107 -0.758  0.189 1.921 -0.037  0.268 1.684 0.078  0.352 -0.800 1.702
23-57-20-675   0.734 2.094 -0.759  0.200 1.909 -0.038  0.277 1.678 0.078  0.363 -0.801 1.701
23-57-20-675   0.734 2.094 -0.759  0.200 1.909 -0.038  0.287 1.673 0.077  0.374 -0.801 1.701
23-57-20-696   0.744 2.082 -0.760  0.210 1.897 -0.039  0.296 1.668 0.077  0.384 -0.801 1.701
23-57-20-717   0.753 2.072 -0.760  0.219 1.886 -0.040  0.305 1.663 0.077  0.395 -0.800 1.700
23-57-20-738   0.763 2.062 -0.761  0.229 1.876 -0.040  0.315 1.658 0.076  0.405 -0.800 1.700
23-57-20-759   0.773 2.053 -0.761  0.239 1.867 -0.041  0.324 1.654 0.075  0.416 -0.799 1.699
23-57-20-759   0.773 2.053 -0.761  0.239 1.867 -0.041  0.334 1.649 0.075  0.427 -0.798 1.698
23-57-20-780   0.782 2.044 -0.761  0.248 1.859 -0.041  0.345 1.645 0.074  0.438 -0.797 1.697
23-57-20-801   0.793 2.036 -0.761  0.259 1.850 -0.040  0.356 1.640 0.073  0.450 -0.796 1.696
23-57-20-822   0.806 2.026 -0.760  0.272 1.841 -0.040  0.366 1.636 0.072  0.461 -0.794 1.695
23-57-20-843   0.818 2.017 -0.759  0.284 1.831 -0.038  0.377 1.632 0.071  0.473 -0.792 1.694
23-57-20-843   0.818 2.017 -0.759  0.284 1.831 -0.038  0.388 1.628 0.069  0.485 -0.791 1.693
23-57-20-864   0.831 2.008 -0.758  0.297 1.822 -0.037  0.399 1.624 0.069  0.496 -0.788 1.692
23-57-20-885   0.844 1.999 -0.756  0.310 1.813 -0.036  0.410 1.621 0.067  0.507 -0.786 1.691
23-57-20-906   0.858 1.990 -0.755  0.324 1.804 -0.034  0.421 1.618 0.066  0.518 -0.783 1.690
23-57-20-927   0.872 1.982 -0.753  0.330 1.800 -0.033  0.433 1.615 0.064  0.530 -0.780 1.688
23-57-20-927   0.872 1.982 -0.753  0.338 1.796 -0.033  0.444 1.612 0.063  0.540 -0.777 1.687
23-57-20-947   0.886 1.974 -0.752  0.352 1.788 -0.031  0.455 1.609 0.062  0.552 -0.774 1.685
23-57-20-969   0.901 1.966 -0.750  0.367 1.780 -0.030  0.466 1.607 0.060  0.563 -0.770 1.684
23-57-20-990   0.916 1.958 -0.749  0.382 1.773 -0.028  0.477 1.605 0.059  0.573 -0.766 1.683
23-57-21-09   0.923 1.955 -0.748  0.389 1.769 -0.028  0.488 1.603 0.059  0.584 -0.763 1.683
23-57-21-11   0.929 1.951 -0.748  0.395 1.765 -0.027  0.500 1.601 0.060  0.595 -0.759 1.684
23-57-21-32   0.942 1.942 -0.748  0.408 1.757 -0.027  0.512 1.598 0.062  0.607 -0.755 1.685
23-57-21-53   0.957 1.933 -0.744  0.423 1.747 -0.024  0.524 1.596 0.064  0.619 -0.751 1.687
23-57-21-74   0.971 1.924 -0.745  0.437 1.739 -0.025  0.537 1.594 0.066  0.631 -0.746 1.689
23-57-21-93   0.978 1.921 -0.746  0.444 1.735 -0.025  0.549 1.593 0.067  0.642 -0.742 1.691
23-57-21-95   0.985 1.918 -0.747  0.451 1.732 -0.026  0.561 1.591 0.069  0.654 -0.738 1.693
23-57-21-115   1.000 1.912 -0.747  0.466 1.726 -0.027  0.574 1.589 0.070  0.665 -0.733 1.694
23-57-21-136   1.017 1.905 -0.751  0.483 1.719 -0.030  0.585 1.587 0.071  0.676 -0.730 1.695
